"","region","pop"
"1","강원-춘천시",285162
"2","강원-원주시",362881
"3","강원-강릉시",206942
"4","강원-동해시",86602
"5","강원-태백시",37376
"6","강원-속초시",79960
"7","강원-삼척시",60932
"8","강원-홍천군",66341
"9","강원-횡성군",45765
"10","강원-영월군",36296
"11","강원-평창군",39893
"12","강원-정선군",33266
"13","강원-철원군",39994
"14","강원-화천군",22504
"15","강원-양구군",20466
"16","강원-인제군",30894
"17","강원-고성군",26776
"18","강원-양양군",27346
"19","경기-수원시",1188644
"20","경기-수원시 장안구",271690
"21","경기-수원시 권선구",361366
"22","경기-수원시 팔달구",192685
"23","경기-수원시 영통구",362903
"24","경기-성남시",907068
"25","경기-성남시 수정구",232661
"26","경기-성남시 중원구",204532
"27","경기-성남시 분당구",469875
"28","경기-의정부시",461568
"29","경기-안양시",563789
"30","경기-안양시 만안구",234036
"31","경기-안양시 동안구",329753
"32","경기-부천시",761265
"33","경기-부천시 원미구",385788
"34","경기-부천시 소사구",226200
"35","경기-부천시 오정구",149277
"36","경기-광명시",289891
"37","경기-평택시",605625
"38","경기-송탄출장소",0
"39","경기-안중출장소",0
"40","경기-동두천시",86830
"41","경기-안산시",613914
"42","경기-안산시 상록구",323777
"43","경기-안산시 단원구",290137
"44","경기-고양시",1061192
"45","경기-고양시 덕양구",486764
"46","경기-고양시 일산동구",295390
"47","경기-고양시 일산서구",279038
"48","경기-과천시",80021
"49","경기-구리시",186070
"50","경기-남양주시",730401
"51","경기-풍양출장소",0
"52","경기-오산시",247325
"53","경기-시흥시",514331
"54","경기-군포시",252284
"55","경기-의왕시",158229
"56","경기-하남시",327792
"57","경기-용인시",1092574
"58","경기-용인시 처인구",283396
"59","경기-용인시 기흥구",434543
"60","경기-용인시 수지구",374635
"61","경기-파주시",522654
"62","경기-이천시",224219
"63","경기-안성시",196691
"64","경기-김포시",484512
"65","경기-화성시",986712
"66","경기-화성시동부출장소",0
"67","경기-화성시동탄출장소",0
"68","경기-광주시",397494
"69","경기-양주시",294789
"70","경기-포천시",140741
"71","경기-여주시",114134
"72","경기-연천군",41027
"73","경기-가평군",62229
"74","경기-양평군",127163
"75","경남-창원시",992802
"76","경남-창원시 의창구",208584
"77","경남-창원시 성산구",244467
"78","경남-창원시 마산합포구",176338
"79","경남-창원시 마산회원구",177652
"80","경남-창원시 진해구",185761
"81","경남-진주시",336964
"82","경남-통영시",117099
"83","경남-사천시",108166
"84","경남-사천남양출장소",0
"85","경남-김해시",532894
"86","경남-장유출장소",0
"87","경남-밀양시",99477
"88","경남-거제시",231319
"89","경남-양산시",360574
"90","경남-양산시웅상출장소",0
"91","경남-의령군",24671
"92","경남-함안군",57725
"93","경남-창녕군",55010
"94","경남-고성군",47241
"95","경남-남해군",39296
"96","경남-하동군",40170
"97","경남-산청군",32918
"98","경남-함양군",35553
"99","경남-거창군",59160
"100","경남-합천군",39386
"101","경북-포항시",489064
"102","경북-포항시 남구",216737
"103","경북-포항시 북구",272327
"104","경북-경주시",244215
"105","경북-김천시",134427
"106","경북-안동시",153399
"107","경북-구미시",404157
"108","경북-영주시",97548
"109","경북-영천시",95914
"110","경북-상주시",90400
"111","경북-문경시",65755
"112","경북-경산시",265042
"113","경북-의성군",48001
"114","경북-청송군",23491
"115","경북-영양군",15185
"116","경북-영덕군",32840
"117","경북-청도군",40198
"118","경북-고령군",29662
"119","경북-성주군",40872
"120","경북-칠곡군",105190
"121","경북-예천군",54013
"122","경북-봉화군",28322
"123","경북-울진군",45925
"124","경북-울릉군",8821
"125","광주-동구",105032
"126","광주-서구",276083
"127","광주-남구",207944
"128","광주-북구",418974
"129","광주-광산구",389089
"130","대구-중구",100724
"131","대구-동구",339912
"132","대구-서구",162529
"133","대구-남구",135984
"134","대구-북구",411210
"135","대구-수성구",409457
"136","대구-달서구",519009
"137","대구-달성군",255197
"138","대구-군위군",22350
"139","대전-동구",219546
"140","대전-중구",226046
"141","대전-서구",463776
"142","대전-유성구",366516
"143","대전-대덕구",166344
"144","부산-중구",36729
"145","부산-서구",102322
"146","부산-동구",84160
"147","부산-영도구",102070
"148","부산-부산진구",365433
"149","부산-동래구",274078
"150","부산-남구",251504
"151","부산-북구",263825
"152","부산-해운대구",373263
"153","부산-사하구",287772
"154","부산-금정구",207438
"155","부산-강서구",148362
"156","부산-연제구",211599
"157","부산-수영구",169749
"158","부산-사상구",195173
"159","부산-기장군",174882
"160","서울-종로구",137545
"161","서울-중구",118458
"162","서울-용산구",202636
"163","서울-성동구",274195
"164","서울-광진구",332072
"165","서울-동대문구",344572
"166","서울-중랑구",377101
"167","서울-성북구",423991
"168","서울-강북구",280068
"169","서울-도봉구",300820
"170","서울-노원구",485526
"171","서울-은평구",457412
"172","서울-서대문구",301098
"173","서울-마포구",358744
"174","서울-양천구",426587
"175","서울-강서구",550669
"176","서울-구로구",385222
"177","서울-금천구",223603
"178","서울-영등포구",372245
"179","서울-동작구",373409
"180","서울-관악구",478809
"181","서울-서초구",412479
"182","서울-강남구",556324
"183","서울-송파구",645729
"184","서울-강동구",499186
"185","울산-중구",204072
"186","울산-남구",304440
"187","울산-동구",149681
"188","울산-북구",215617
"189","울산-울주군",218824
"190","인천-중구",174663
"191","인천-중구영종출장소",0
"192","인천-중구용유출장소",0
"193","인천-동구",56764
"194","인천-미추홀구",418425
"195","인천-연수구",407833
"196","인천-남동구",481212
"197","인천-부평구",491820
"198","인천-계양구",277665
"199","인천-서구",649040
"200","인천-서구검단출장소",0
"201","인천-강화군",69664
"202","인천-옹진군",19668
"203","전남-목포시",204832
"204","전남-여수시",264298
"205","전남-순천시",275071
"206","전남-나주시",117195
"207","전남-광양시",155297
"208","전남-담양군",44195
"209","전남-곡성군",26597
"210","전남-구례군",23841
"211","전남-고흥군",59669
"212","전남-보성군",36684
"213","전남-화순군",60384
"214","전남-장흥군",34210
"215","전남-강진군",31728
"216","전남-해남군",62297
"217","전남-영암군",50264
"218","전남-무안군",95567
"219","전남-함평군",29541
"220","전남-영광군",53191
"221","전남-장성군",42881
"222","전남-완도군",44838
"223","전남-진도군",28136
"224","전남-신안군",38883
"225","전북-전주시",628663
"226","전북-전주시 완산구",317981
"227","전북-전주시 덕진구",310682
"228","전북-군산시",256556
"229","전북-익산시",267505
"230","전북-정읍시",100833
"231","전북-남원시",74715
"232","전북-김제시",81586
"233","전북-완주군",100376
"234","전북-진안군",24205
"235","전북-무주군",22810
"236","전북-장수군",20395
"237","전북-임실군",25297
"238","전북-순창군",26741
"239","전북-고창군",50595
"240","전북-부안군",47439
"241","제주-제주시",485634
"242","제주-서귀포시",179976
"243","충남-천안시",663595
"244","충남-천안시 동남구",262257
"245","충남-천안시 서북구",401338
"246","충남-공주시",100449
"247","충남-보령시",92431
"248","충남-아산시",358397
"249","충남-서산시",172903
"250","충남-논산시",107103
"251","충남-계룡시",46032
"252","충남-당진시",172587
"253","충남-금산군",49096
"254","충남-부여군",58638
"255","충남-서천군",47444
"256","충남-청양군",29078
"257","충남-홍성군",100154
"258","충남-예산군",78970
"259","충남-태안군",59674
"260","충북-청주시",857192
"261","충북-청주시 상당구",196148
"262","충북-청주시 서원구",180433
"263","충북-청주시 흥덕구",292227
"264","충북-청주시 청원구",188384
"265","충북-충주시",207063
"266","충북-제천시",128049
"267","충북-보은군",30309
"268","충북-옥천군",48373
"269","충북-영동군",42819
"270","충북-증평군",37129
"271","충북-진천군",85971
"272","충북-괴산군",35675
"273","충북-음성군",92908
"274","충북-단양군",26943
"275","세종-세종시",392230
