"","region1","si","region","vacc"
"1","서울",NA,"서울-종로구",91.9
"2","서울",NA,"서울-중구",92.5
"3","서울",NA,"서울-용산구",91.1
"4","서울",NA,"서울-성동구",95.3
"5","서울",NA,"서울-광진구",93.3
"6","서울",NA,"서울-동대문구",94.4
"7","서울",NA,"서울-중랑구",95.7
"8","서울",NA,"서울-성북구",95.4
"9","서울",NA,"서울-강북구",93.5
"10","서울",NA,"서울-도봉구",95.6
"11","서울",NA,"서울-노원구",95.7
"12","서울",NA,"서울-은평구",94
"13","서울",NA,"서울-서대문구",93.2
"14","서울",NA,"서울-마포구",94.5
"15","서울",NA,"서울-양천구",95.2
"16","서울",NA,"서울-강서구",95.1
"17","서울",NA,"서울-구로구",94.5
"18","서울",NA,"서울-금천구",94.2
"19","서울",NA,"서울-영등포구",93.4
"20","서울",NA,"서울-동작구",93.4
"21","서울",NA,"서울-관악구",94.3
"22","서울",NA,"서울-서초구",92.2
"23","서울",NA,"서울-강남구",90.7
"24","서울",NA,"서울-송파구",94.1
"25","서울",NA,"서울-강동구",94.2
"26","부산",NA,"부산-중구",92.8
"27","부산",NA,"부산-서구",93
"28","부산",NA,"부산-동구",94.1
"29","부산",NA,"부산-영도구",93.1
"30","부산",NA,"부산-부산진구",94.8
"31","부산",NA,"부산-동래구",95.3
"32","부산",NA,"부산-남구",94.4
"33","부산",NA,"부산-북구",95.4
"34","부산",NA,"부산-해운대구",94.3
"35","부산",NA,"부산-사하구",94.9
"36","부산",NA,"부산-금정구",93.9
"37","부산",NA,"부산-강서구",95.5
"38","부산",NA,"부산-연제구",96
"39","부산",NA,"부산-수영구",95.1
"40","부산",NA,"부산-사상구",96.3
"41","부산",NA,"부산-기장군",96.3
"42","대구",NA,"대구-중구",95.7
"43","대구",NA,"대구-동구",95.8
"44","대구",NA,"대구-서구",95.5
"45","대구",NA,"대구-남구",93.4
"46","대구",NA,"대구-북구",96.8
"47","대구",NA,"대구-수성구",95.8
"48","대구",NA,"대구-달서구",95.9
"49","대구",NA,"대구-달성군",96.9
"50","인천",NA,"인천-중구",95.2
"51","인천",NA,"인천-동구",98.2
"52","인천",NA,"인천-남구",96.3
"53","인천",NA,"인천-연수구",95.4
"54","인천",NA,"인천-남동구",96.3
"55","인천",NA,"인천-부평구",95.7
"56","인천",NA,"인천-계양구",95.8
"57","인천",NA,"인천-서구",96.7
"58","인천",NA,"인천-강화군",94.2
"59","인천",NA,"인천-옹진군",93.5
"60","광주",NA,"광주-동구",92.8
"61","광주",NA,"광주-서구",97
"62","광주",NA,"광주-남구",95.9
"63","광주",NA,"광주-북구",94.1
"64","광주",NA,"광주-광산구",96.3
"65","광주",NA,"광주-동구",96.7
"66","광주",NA,"광주-중구",95.7
"67","광주",NA,"광주-서구",97
"68","광주",NA,"광주-유성구",96.5
"69","광주",NA,"광주-대덕구",95.6
"70","울산",NA,"울산-중구",96.5
"71","울산",NA,"울산-남구",97.4
"72","울산",NA,"울산-동구",97
"73","울산",NA,"울산-북구",97.8
"74","울산",NA,"울산-울주군",96.6
"75","세종",NA,"세종-세종시",96.9
"76","경기도","수원시","경기도-수원시 장안구",96.4
"77","경기도","수원시","경기도-수원시 권선구",96.9
"78","경기도","수원시","경기도-수원시 팔달구",96.5
"79","경기도","수원시","경기도-수원시 영통구",96.5
"80","경기도","성남시","경기도-성남시 수정구",96.1
"81","경기도","성남시","경기도-성남시 중원구",95.3
"82","경기도","성남시","경기도-성남시 분당구",93.9
"83","경기도","의정부시","경기도-의정부시",95.6
"84","경기도","안양시","경기도-안양시 만안구",95.2
"85","경기도","안양시","경기도-안양시 동안구",95.8
"86","경기도","부천시","경기도-부천시 원미구",94.8
"87","경기도","부천시","경기도-부천시 소사구",95.3
"88","경기도","부천시","경기도-부천시 오정구",95.2
"89","경기도","광명시","경기도-광명시",96.9
"90","경기도","평택시","경기도-평택시",96.2
"91","경기도","동두천시","경기도-동두천시",96.3
"92","경기도","안산시","경기도-안산시 상록구",94.8
"93","경기도","안산시","경기도-안산시 단원구",96.1
"94","경기도","고양시","경기도-고양시 덕양구",95.7
"95","경기도","과천시","경기도-과천시",92.6
"96","경기도","구리시","경기도-구리시",96.6
"97","경기도","남양주시","경기도-남양주시",95.5
"98","경기도","오산시","경기도-오산시",97.8
"99","경기도","시흥시","경기도-시흥시",97
"100","경기도","군포시","경기도-군포시",96.3
"101","경기도","의왕시","경기도-의왕시",96.1
"102","경기도","하남시","경기도-하남시",95.7
"103","경기도","용인시","경기도-용인시 처인구",94.7
"104","경기도","용인시","경기도-용인시 기흥구",95.2
"105","경기도","용인시","경기도-용인시 수지구",94.2
"106","경기도","파주시","경기도-파주시",95.4
"107","경기도","이천시","경기도-이천시",96.3
"108","경기도","안성시","경기도-안성시",97.1
"109","경기도","김포시","경기도-김포시",95.3
"110","경기도","화성시","경기도-화성시",96.7
"111","경기도","광주시","경기도-광주시",96
"112","경기도","양주시","경기도-양주시",95.8
"113","경기도","포천시","경기도-포천시",95.2
"114","경기도","여주시","경기도-여주시",93.1
"115","경기도","연천군","경기도-연천군",96.9
"116","경기도","가평군","경기도-가평군",93.5
"117","경기도","양평군","경기도-양평군",93.4
"118","강원도",NA,"강원도-춘천시",96.5
"119","강원도",NA,"강원도-원주시",97.3
"120","강원도",NA,"강원도-강릉시",97
"121","강원도",NA,"강원도-동해시",96.7
"122","강원도",NA,"강원도-태백시",99
"123","강원도",NA,"강원도-속초시",96.1
"124","강원도",NA,"강원도-삼척시",97.6
"125","강원도",NA,"강원도-홍천군",95
"126","강원도",NA,"강원도-횡성군",96.2
"127","강원도",NA,"강원도-영월군",96.5
"128","강원도",NA,"강원도-평창군",96.5
"129","강원도",NA,"강원도-정선군",97.4
"130","강원도",NA,"강원도-철원군",95.8
"131","강원도",NA,"강원도-화천군",97.2
"132","강원도",NA,"강원도-양구군",97.8
"133","강원도",NA,"강원도-인제군",98.4
"134","강원도",NA,"강원도-고성군",94.4
"135","강원도",NA,"강원도-양양군",95.5
"136","충북","청주시","충북-청주시 상당구",96
"137","충북","청주시","충북-청주시 서원구",96.6
"138","충북","청주시","충북-청주시 흥덕구",96.1
"139","충북","청주시","충북-청주시 청원군",97.8
"140","충북",NA,"충북-충주시",97.1
"141","충북",NA,"충북-제천시",96.2
"142","충북",NA,"충북-보은군",96.4
"143","충북",NA,"충북-옥천군",96.9
"144","충북",NA,"충북-영동군",97
"145","충북",NA,"충북-증평군",98.1
"146","충북",NA,"충북-진천군",97.5
"147","충북",NA,"충북-괴산군",95.6
"148","충북",NA,"충북-음성군",95.6
"149","충북",NA,"충북-단양군",97.5
"150","충남","천안시","충남-천안시 동남구",96.8
"151","충남","천안시","충남-천안시 서북구",97.5
"152","충남",NA,"충남-공주시",96.2
"153","충남",NA,"충남-보령시",95
"154","충남",NA,"충남-아산시",96.7
"155","충남",NA,"충남-서산시",96.8
"156","충남",NA,"충남-논산시",95.2
"157","충남",NA,"충남-계룡시",96
"158","충남",NA,"충남-당진시",96.5
"159","충남",NA,"충남-금산군",95.3
"160","충남",NA,"충남-부여군",97
"161","충남",NA,"충남-서천군",94.5
"162","충남",NA,"충남-청양군",98.4
"163","충남",NA,"충남-홍성군",95.8
"164","충남",NA,"충남-예산군",96
"165","충남",NA,"충남-태안군",96.9
"166","전북","전주시","전북-전주시 완산구",95.1
"167","전북","전주시","전북-전주시 덕진구",96.4
"168","전북",NA,"전북-군산시",95.8
"169","전북",NA,"전북-익산시",95.8
"170","전북",NA,"전북-정읍시",95.5
"171","전북",NA,"전북-남원시",96.5
"172","전북",NA,"전북-김제시",96.2
"173","전북",NA,"전북-완주군",97.4
"174","전북",NA,"전북-진안군",96.3
"175","전북",NA,"전북-무주군",97.5
"176","전북",NA,"전북-장수군",97.5
"177","전북",NA,"전북-임실군",97.2
"178","전북",NA,"전북-순창군",97.2
"179","전북",NA,"전북-고창군",95.1
"180","전북",NA,"전북-부안군",96.9
"181","전남",NA,"전남-목포시",95.5
"182","전남",NA,"전남-여수시",96
"183","전남",NA,"전남-순천시",96.5
"184","전남",NA,"전남-나주시",96.8
"185","전남",NA,"전남-광양시",95.7
"186","전남",NA,"전남-담양군",92.4
"187","전남",NA,"전남-곡성군",97.3
"188","전남",NA,"전남-구례군",96.7
"189","전남",NA,"전남-고흥군",93.2
"190","전남",NA,"전남-보성군",97.1
"191","전남",NA,"전남-화순군",96.7
"192","전남",NA,"전남-장흥군",98.4
"193","전남",NA,"전남-강진군",97.3
"194","전남",NA,"전남-해남군",96.9
"195","전남",NA,"전남-영암군",95.8
"196","전남",NA,"전남-무안군",97.3
"197","전남",NA,"전남-함평군",96.2
"198","전남",NA,"전남-영광군",93.4
"199","전남",NA,"전남-장성군",92.3
"200","전남",NA,"전남-완도군",96.6
"201","전남",NA,"전남-진도군",96.1
"202","전남",NA,"전남-신안군",92.9
"203","경북","포항시","경북-포항시 남구",94.4
"204","경북","포항시","경북-포항시 북구",95.6
"205","경북",NA,"경북-경주시",94.6
"206","경북",NA,"경북-김천시",96.5
"207","경북",NA,"경북-안동시",97.5
"208","경북",NA,"경북-구미시",95.9
"209","경북",NA,"경북-영주시",95.6
"210","경북",NA,"경북-영천시",97
"211","경북",NA,"경북-상주시",95.5
"212","경북",NA,"경북-문경시",97.4
"213","경북",NA,"경북-경산시",96.3
"214","경북",NA,"경북-군위군",93.6
"215","경북",NA,"경북-의성군",96.1
"216","경북",NA,"경북-청송군",95.4
"217","경북",NA,"경북-영양군",98.9
"218","경북",NA,"경북-영덕군",96.9
"219","경북",NA,"경북-청도군",95.5
"220","경북",NA,"경북-고령군",96.8
"221","경북",NA,"경북-성주군",97.3
"222","경북",NA,"경북-칠곡군",96.7
"223","경북",NA,"경북-예천군",96.9
"224","경북",NA,"경북-봉화군",93.4
"225","경북",NA,"경북-울진군",96.7
"226","경북",NA,"경북-울릉군",94.5
"227","경남","창원시","경남-창원시 의창구",96.1
"228","경남","창원시","경남-창원시 성산구",97.5
"229","경남","창원시","경남-창원시 마산합포구",94.4
"230","경남","창원시","경남-창원시 마산회원구",94.4
"231","경남",NA,"경남-진해구",96.1
"232","경남",NA,"경남-진주시",96.5
"233","경남",NA,"경남-통영시",97.1
"234","경남",NA,"경남-사천시",95.9
"235","경남",NA,"경남-김해시",96.1
"236","경남",NA,"경남-밀양시",97
"237","경남",NA,"경남-거제시",97.4
"238","경남",NA,"경남-양산시",95.4
"239","경남",NA,"경남-의령군",93.7
"240","경남",NA,"경남-함안군",97.1
"241","경남",NA,"경남-창녕군",94.8
"242","경남",NA,"경남-고성군",97.2
"243","경남",NA,"경남-남해군",96.9
"244","경남",NA,"경남-하동군",91.2
"245","경남",NA,"경남-산청군",92.8
"246","경남",NA,"경남-함양군",94.9
"247","경남",NA,"경남-거창군",95.3
"248","경남",NA,"경남-합천군",94.6
"249","제주",NA,"제주-제주시",95.5
"250","제주",NA,"제주-서귀포시",95.6
